  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    1.121  -21.4777     0.988     0.000
    1.164  -21.4774     0.988     0.000
    1.208  -21.4771     0.988     0.000
    1.251  -21.4766     0.988     0.000
    1.251  -21.4766     0.988     0.000
    1.295  -21.4771     0.988     0.000
    1.338  -21.4774     0.988     0.000
    1.382  -21.4777     0.988     0.000
    1.425  -21.4779     0.988     0.000
    1.469  -21.4781     0.988     0.000
    1.512  -21.4781     0.988     0.000
    1.556  -21.4783     0.988     0.000
    1.599  -21.4786     0.988     0.000
    1.643  -21.4790     0.988     0.000
    1.686  -21.4794     0.988     0.000
    1.730  -21.4798     0.988     0.000
    1.773  -21.4802     0.988     0.000
    1.817  -21.4806     0.988     0.000
    1.860  -21.4810     0.988     0.000
    1.904  -21.4813     0.988     0.000
    1.947  -21.4815     0.988     0.000
    1.991  -21.4817     0.988     0.000
    2.034  -21.4818     0.988     0.000
    2.078  -21.4817     0.988     0.000
    2.078  -21.4817     0.988     0.000
    2.115  -21.4818     0.988     0.000
    2.153  -21.4818     0.988     0.000
    2.190  -21.4816     0.988     0.000
    2.227  -21.4815     0.988     0.000
    2.265  -21.4813     0.988     0.000
    2.302  -21.4811     0.988     0.000
    2.339  -21.4809     0.988     0.000
    2.377  -21.4806     0.988     0.000
    2.414  -21.4804     0.988     0.000
    2.451  -21.4801     0.988     0.000
    2.488  -21.4799     0.988     0.000
    2.526  -21.4797     0.988     0.000
    2.563  -21.4794     0.988     0.000
    2.600  -21.4792     0.988     0.000
    2.638  -21.4790     0.988     0.000
