     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
    -2.65603     0.02542     0.17070     0.14680     0.17070     0.00120     0.00178     0.00097     0.00178     0.00120     0.52056
    -2.50303     0.00942     0.11970     0.09856     0.11970     0.00135     0.00114     0.00100     0.00114     0.00135     0.35336
    -2.34903     0.01682     0.18350     0.19530     0.18350     0.00184     0.00195     0.00133     0.00195     0.00184     0.58803
    -2.19603     0.01004     0.16360     0.13290     0.16360     0.00188     0.00216     0.00138     0.00216     0.00188     0.47959
    -2.04303     0.01252     0.20640     0.12620     0.20640     0.00217     0.00292     0.00145     0.00292     0.00217     0.56313
    -1.88903     0.02078     0.27250     0.14150     0.27250     0.00280     0.00398     0.00146     0.00398     0.00280     0.72230
    -1.73603     0.00902     0.14310     0.06732     0.14310     0.00181     0.00224     0.00075     0.00224     0.00181     0.37140
    -1.58303     0.00890     0.12110     0.07331     0.12110     0.00149     0.00198     0.00057     0.00198     0.00149     0.33191
    -1.42903     0.01200     0.10920     0.13210     0.10920     0.00177     0.00152     0.00037     0.00152     0.00177     0.36945
    -1.27603     0.02078     0.09922     0.16060     0.09922     0.00169     0.00145     0.00031     0.00145     0.00169     0.38640
    -1.12303     0.03370     0.15960     0.26200     0.15960     0.00293     0.00265     0.00060     0.00265     0.00293     0.62666
    -0.96903     0.02741     0.09337     0.19380     0.09337     0.00166     0.00153     0.00051     0.00153     0.00166     0.41483
    -0.81603     0.02382     0.08271     0.17120     0.08271     0.00181     0.00139     0.00097     0.00139     0.00181     0.36781
    -0.66203     0.02192     0.05796     0.15110     0.05796     0.00129     0.00094     0.00113     0.00094     0.00129     0.29455
    -0.50903     0.02009     0.04723     0.15950     0.04723     0.00124     0.00080     0.00142     0.00080     0.00124     0.27957
    -0.35603     0.01738     0.03462     0.15610     0.03462     0.00102     0.00065     0.00189     0.00065     0.00102     0.24795
    -0.20203     0.01295     0.02916     0.15050     0.02916     0.00105     0.00071     0.00243     0.00071     0.00105     0.22771
    -0.04903     0.00507     0.01733     0.07356     0.01733     0.00073     0.00048     0.00150     0.00048     0.00073     0.11720
     0.10397     0.00070     0.00015     0.00490     0.00015     0.00004     0.00002     0.00005     0.00002     0.00004     0.00604
     0.25797     0.00109     0.00059     0.00397     0.00059     0.00004     0.00002     0.00010     0.00002     0.00004     0.00647
     0.41097     0.00432     0.00443     0.00459     0.00443     0.00012     0.00007     0.00051     0.00007     0.00012     0.01865
     0.56397     0.00522     0.00337     0.01620     0.00337     0.00026     0.00013     0.00037     0.00013     0.00026     0.02932
     0.71797     0.00767     0.00990     0.00809     0.00990     0.00022     0.00011     0.00084     0.00011     0.00022     0.03706
     0.87097     0.02646     0.02918     0.07606     0.02918     0.00355     0.00089     0.00161     0.00089     0.00355     0.17138
     1.02397     0.05144     0.06730     0.16630     0.06730     0.00931     0.00141     0.00327     0.00141     0.00931     0.37703
     1.17797     0.05860     0.08433     0.19840     0.08433     0.01112     0.00182     0.00332     0.00182     0.01112     0.45486
     1.33097     0.02556     0.03951     0.10710     0.03951     0.00626     0.00098     0.00125     0.00098     0.00626     0.22740
     1.48397     0.03070     0.05791     0.09404     0.05791     0.00466     0.00225     0.00128     0.00225     0.00466     0.25566
     1.63797     0.02585     0.08957     0.10110     0.08957     0.00532     0.00566     0.00095     0.00566     0.00532     0.32900
     1.79097     0.03725     0.12650     0.07522     0.12650     0.00568     0.00551     0.00091     0.00551     0.00568     0.38876
     1.94497     0.03371     0.13410     0.07580     0.13410     0.00551     0.00590     0.00091     0.00590     0.00551     0.40145
     2.09797     0.02226     0.11940     0.05003     0.11940     0.00251     0.00446     0.00084     0.00446     0.00251     0.32587
     2.25097     0.02450     0.15430     0.08884     0.15430     0.00509     0.00829     0.00189     0.00829     0.00509     0.45060
     2.40497     0.02677     0.22760     0.13730     0.22760     0.00438     0.01109     0.00342     0.01109     0.00438     0.65363
     2.55797     0.02319     0.28200     0.16690     0.28200     0.00673     0.00882     0.00237     0.00882     0.00673     0.78756
     2.71097     0.02181     0.22530     0.14340     0.22530     0.00512     0.00686     0.00252     0.00686     0.00512     0.64229
     2.86497     0.04126     0.30890     0.22260     0.30890     0.00601     0.01137     0.00415     0.01137     0.00601     0.92057
     3.01797     0.04334     0.36590     0.26940     0.36590     0.00598     0.01268     0.00265     0.01268     0.00598     1.08451
     3.17097     0.02698     0.38160     0.18220     0.38160     0.00485     0.01456     0.00272     0.01456     0.00485     1.01392
     3.32497     0.00084     0.03958     0.00586     0.03958     0.00072     0.00176     0.00018     0.00176     0.00072     0.09100
     3.47797     0.00001     0.00152     0.00004     0.00152     0.00003     0.00008     0.00000     0.00008     0.00003     0.00330
     3.63097     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     3.78497     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
     3.93797     0.00124     0.00052     0.00943     0.00052     0.00002     0.00000     0.00064     0.00000     0.00002     0.01238
     4.09197     0.00220     0.00184     0.02926     0.00184     0.00018     0.00003     0.00239     0.00003     0.00018     0.03794
     4.24497     0.00216     0.00278     0.03796     0.00278     0.00043     0.00014     0.00449     0.00014     0.00043     0.05132
     4.39797     0.00243     0.00464     0.04247     0.00464     0.00114     0.00045     0.00589     0.00045     0.00114     0.06325
     4.55197     0.00269     0.00608     0.03962     0.00608     0.00216     0.00084     0.00529     0.00084     0.00216     0.06576
     4.70497     0.00343     0.00808     0.03680     0.00808     0.00342     0.00124     0.00464     0.00124     0.00342     0.07033
     4.85797     0.00454     0.01135     0.04061     0.01135     0.00513     0.00217     0.00487     0.00217     0.00513     0.08732
     5.01197     0.01105     0.01643     0.06559     0.01643     0.01039     0.01211     0.01389     0.01211     0.01039     0.16839
     5.16497     0.01043     0.01979     0.05816     0.01979     0.01386     0.01320     0.01547     0.01320     0.01386     0.17776
     5.31797     0.00872     0.02080     0.04712     0.02080     0.01633     0.00903     0.01210     0.00903     0.01633     0.16027
     5.47197     0.00560     0.01945     0.02915     0.01945     0.01727     0.01041     0.01290     0.01041     0.01727     0.14191
     5.62497     0.00670     0.01973     0.02322     0.01973     0.01235     0.00650     0.00792     0.00650     0.01235     0.11501
     5.77797     0.00707     0.01547     0.01933     0.01547     0.01003     0.00825     0.01152     0.00825     0.01003     0.10541
     5.93197     0.01193     0.01386     0.02391     0.01386     0.00556     0.00575     0.00762     0.00575     0.00556     0.09381
     6.08497     0.03109     0.03644     0.03414     0.03644     0.01908     0.01777     0.01809     0.01777     0.01908     0.22990
     6.23797     0.02538     0.05385     0.04424     0.05385     0.02203     0.02245     0.02072     0.02245     0.02203     0.28700
     6.39197     0.02037     0.06336     0.04313     0.06336     0.02103     0.02244     0.04354     0.02244     0.02103     0.32070
     6.54497     0.02187     0.04869     0.04486     0.04869     0.01639     0.01516     0.02395     0.01516     0.01639     0.25116
     6.69897     0.03123     0.05484     0.08515     0.05484     0.01778     0.02377     0.02665     0.02377     0.01778     0.33581
     6.85197     0.02795     0.04287     0.06823     0.04287     0.01249     0.01852     0.04692     0.01852     0.01249     0.29086
     7.00497     0.02105     0.04666     0.04318     0.04666     0.01615     0.01650     0.05362     0.01650     0.01615     0.27647
     7.15897     0.01586     0.03617     0.03095     0.03617     0.01597     0.00940     0.01777     0.00940     0.01597     0.18765
     7.31197     0.02314     0.04000     0.04533     0.04000     0.02337     0.01285     0.01440     0.01285     0.02337     0.23531
     7.46497     0.02740     0.03717     0.02870     0.03717     0.02888     0.01820     0.01523     0.01820     0.02888     0.23983
     7.61897     0.04435     0.05840     0.09203     0.05840     0.04514     0.02923     0.03191     0.02923     0.04514     0.43383
     7.77197     0.01671     0.04248     0.04221     0.04248     0.02498     0.01832     0.01409     0.01832     0.02498     0.24457
     7.92497     0.02028     0.05183     0.03476     0.05183     0.01940     0.01118     0.01454     0.01118     0.01940     0.23440
     8.07897     0.01425     0.05209     0.03321     0.05209     0.02055     0.01328     0.01802     0.01328     0.02055     0.23732
     8.23197     0.00869     0.03293     0.03209     0.03293     0.01335     0.00923     0.01593     0.00923     0.01335     0.16773
     8.38497     0.01121     0.06442     0.03436     0.06442     0.01855     0.01107     0.02177     0.01107     0.01855     0.25542
     8.53897     0.01837     0.05650     0.03494     0.05650     0.02476     0.01441     0.01722     0.01441     0.02476     0.26187
     8.69197     0.01497     0.04352     0.03161     0.04352     0.01993     0.01757     0.01848     0.01757     0.01993     0.22710
     8.84597     0.01347     0.05347     0.03064     0.05347     0.02146     0.01529     0.03053     0.01529     0.02146     0.25508
     8.99897     0.01475     0.05227     0.04630     0.05227     0.02210     0.01553     0.03146     0.01553     0.02210     0.27231
     9.15197     0.01393     0.04727     0.03782     0.04727     0.02287     0.02447     0.01424     0.02447     0.02287     0.25521
     9.30597     0.01683     0.05624     0.03112     0.05624     0.01980     0.02390     0.03538     0.02390     0.01980     0.28321
     9.45897     0.01531     0.06378     0.03742     0.06378     0.02619     0.03160     0.02511     0.03160     0.02619     0.32098
     9.61197     0.01650     0.05735     0.04502     0.05735     0.02152     0.05025     0.02809     0.05025     0.02152     0.34785
     9.76597     0.01520     0.04511     0.03849     0.04511     0.01933     0.03266     0.02544     0.03266     0.01933     0.27333
     9.91897     0.01834     0.05250     0.03879     0.05250     0.02036     0.03414     0.02688     0.03414     0.02036     0.29801
    10.07197     0.01160     0.02839     0.01821     0.02839     0.01256     0.01571     0.02171     0.01571     0.01256     0.16484
    10.22597     0.02673     0.04717     0.03245     0.04717     0.02753     0.02518     0.02021     0.02518     0.02753     0.27915
    10.37897     0.02027     0.03488     0.02385     0.03488     0.01709     0.02054     0.01654     0.02054     0.01709     0.20568
