  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    1.944  -13.9845     0.981     0.000
    1.923  -13.9845     0.981     0.000
    1.901  -13.9846     0.981     0.000
    1.879  -13.9846     0.981     0.000
    1.858  -13.9847     0.981     0.000
    1.836  -13.9848     0.981     0.000
    1.814  -13.9850     0.981     0.000
    1.793  -13.9852     0.981     0.000
    1.771  -13.9854     0.981     0.000
    1.750  -13.9856     0.981     0.001
    1.728  -13.9858     0.981     0.001
    1.706  -13.9861     0.981     0.001
    1.685  -13.9864     0.981     0.001
    1.663  -13.9866     0.981     0.001
    1.641  -13.9869     0.980     0.001
    1.620  -13.9872     0.980     0.001
    1.598  -13.9875     0.980     0.001
    1.577  -13.9878     0.980     0.001
    1.555  -13.9881     0.980     0.001
    1.533  -13.9884     0.980     0.001
    1.533  -13.9884     0.980     0.001
    1.496  -13.9884     0.980     0.001
    1.458  -13.9883     0.980     0.001
    1.421  -13.9881     0.980     0.001
    1.383  -13.9879     0.980     0.001
    1.346  -13.9877     0.980     0.001
    1.309  -13.9874     0.980     0.001
    1.271  -13.9871     0.981     0.001
    1.234  -13.9868     0.981     0.001
    1.196  -13.9865     0.981     0.001
    1.159  -13.9862     0.981     0.001
    1.121  -13.9859     0.981     0.001
    1.084  -13.9857     0.981     0.000
    1.046  -13.9855     0.981     0.000
    1.009  -13.9853     0.981     0.000
    0.971  -13.9851     0.981     0.000
    0.934  -13.9850     0.981     0.000
    0.897  -13.9849     0.981     0.000
    0.859  -13.9849     0.981     0.000
    0.822  -13.9849     0.981     0.000
    0.822  -13.9849     0.981     0.000
    0.778  -13.9849     0.981     0.000
    0.735  -13.9850     0.981     0.000
    0.692  -13.9850     0.981     0.000
    0.649  -13.9851     0.981     0.000
    0.605  -13.9852     0.981     0.000
    0.562  -13.9853     0.981     0.000
    0.519  -13.9854     0.981     0.000
    0.476  -13.9855     0.981     0.000
    0.432  -13.9855     0.981     0.000
    0.389  -13.9855     0.981     0.000
    0.346  -13.9855     0.981     0.000
    0.303  -13.9854     0.981     0.000
    0.259  -13.9853     0.981     0.000
    0.216  -13.9852     0.981     0.000
    0.173  -13.9850     0.981     0.000
    0.130  -13.9848     0.981     0.000
    0.086  -13.9847     0.981     0.000
    0.043  -13.9846     0.981     0.000
    0.000  -13.9845     0.981     0.000
 
# Band-Index:    9
    0.000  -13.9443     0.974     0.004
    0.043  -13.9442     0.974     0.004
    0.086  -13.9437     0.974     0.004
    0.130  -13.9429     0.974     0.004
    0.173  -13.9419     0.974     0.003
    0.216  -13.9408     0.975     0.003
    0.259  -13.9397     0.975     0.003
    0.303  -13.9385     0.976     0.003
    0.346  -13.9374     0.976     0.003
    0.389  -13.9363     0.976     0.002
    0.432  -13.9354     0.977     0.002
    0.476  -13.9346     0.977     0.002
    0.519  -13.9340     0.977     0.002
    0.562  -13.9335     0.977     0.002
    0.605  -13.9331     0.978     0.001
    0.649  -13.9329     0.978     0.001
    0.692  -13.9328     0.978     0.001
    0.735  -13.9327     0.978     0.001
    0.778  -13.9326     0.978     0.001
    0.822  -13.9325     0.978     0.001
    0.822  -13.9325     0.978     0.001
    0.859  -13.9326     0.978     0.001
    0.897  -13.9327     0.978     0.001
    0.934  -13.9327     0.978     0.001
    0.971  -13.9327     0.978     0.001
    1.009  -13.9327     0.978     0.001
    1.046  -13.9327     0.978     0.001
    1.084  -13.9326     0.978     0.002
    1.121  -13.9325     0.978     0.002
    1.159  -13.9324     0.977     0.002
    1.196  -13.9323     0.977     0.002
    1.234  -13.9321     0.977     0.002
    1.271  -13.9319     0.977     0.002
    1.309  -13.9318     0.977     0.002
    1.346  -13.9316     0.977     0.002
    1.383  -13.9314     0.977     0.002
    1.421  -13.9312     0.977     0.002
    1.458  -13.9310     0.978     0.002
    1.496  -13.9308     0.978     0.002
    1.533  -13.9307     0.978     0.002
    1.533  -13.9307     0.978     0.002
    1.555  -13.9318     0.977     0.002
    1.577  -13.9328     0.977     0.002
    1.598  -13.9339     0.977     0.002
    1.620  -13.9350     0.977     0.002
    1.641  -13.9360     0.976     0.003
    1.663  -13.9370     0.976     0.003
    1.685  -13.9380     0.976     0.003
    1.706  -13.9389     0.975     0.003
    1.728  -13.9398     0.975     0.003
    1.750  -13.9406     0.975     0.003
    1.771  -13.9414     0.975     0.003
    1.793  -13.9421     0.974     0.003
    1.814  -13.9427     0.974     0.004
    1.836  -13.9432     0.974     0.004
    1.858  -13.9436     0.974     0.004
    1.879  -13.9439     0.974     0.004
    1.901  -13.9442     0.974     0.004
    1.923  -13.9443     0.974     0.004
    1.944  -13.9443     0.974     0.004
    1.944  -13.9443     0.974     0.004
    1.987  -13.9442     0.974     0.004
    2.031  -13.9437     0.974     0.004
    2.074  -13.9429     0.974     0.004
    2.117  -13.9419     0.974     0.003
    2.160  -13.9408     0.975     0.003
    2.204  -13.9397     0.975     0.003
    2.247  -13.9385     0.976     0.003
    2.290  -13.9374     0.976     0.003
    2.333  -13.9363     0.976     0.002
    2.377  -13.9354     0.977     0.002
    2.420  -13.9346     0.977     0.002
    2.463  -13.9340     0.977     0.002
    2.506  -13.9335     0.977     0.002
    2.550  -13.9331     0.978     0.001
    2.593  -13.9329     0.978     0.001
    2.636  -13.9328     0.978     0.001
    2.679  -13.9327     0.978     0.001
    2.723  -13.9326     0.978     0.001
